time,text
0.0,CPIU 823870 7M  ySBU  294985 2261  Rh  on. NET  Ag Te CAP.  an  
2.0,"cru 23678 9201  204985  ¥SBU 226t  WAX,  OR. THE OWNED  Tare oe “tnt  am  OME fu wey CAP.  Ecc  "
4.0,cpu 623679 Britt  ¥SBU  | 204985 2761  waL  Gh. TARE  WM  NET  CAP.  Migs  
6.0,"CPW 623870 2261  YSBU |  | 708985 2261  WAL,  OR. THEE TRAE  “HME sett  ape  te  cae. ah,  "
8.0,cru | 6273070 2701  ¥SBU  204985 2261  BAL  ng fl TARE  HET  mec an  
10.0,"cPtu | 623079 2201  ¥SBU  | 204985 2261  WAL!  CGA. TE TRAE  “ANE rd  rH  a,  Ni #  "
12.0,rw 23 re  sp |  | 204985 261  wi.  Tie  a  
14.0,CPIU 923679  2761  204  VSBU 226  Bontners  VS&B 30.  MAX. Kes MAX. | 48 480 GR. 30. 67.20  GROSS LBS B12   en Aon  TARE  wor.  78.2:  MAX. CARGO  62.24 33.2  cu CAP.  1.170 Wing  a  
16.0,"CPIU 823679  2761  204  VSBU 226  Mathers  VS&BI 30.48  MAX. KOS MAX, 30. GR. 480   A200 67.201 GROSS TAN  TARE  7.25 WoT.  28.23!  MAX. CARGO  62.241 CU.  33.2 CAP.   1170 Ck  aos    "
18.0,"CPIU 823679 | 2261  VSBU  20491 2261  Montainers  VS&B 80K  30: MAX, Kos ARK "
20.0,CPIU 823679 G 2761  VSBU  VSA&EB  Bhontaisyers K  ann MAX. GROSS  TARE  WGT.  MAX.  CARGO  cu.  CAP.    
22.0,CPIU 823675 1]  2261 Mey stliact es  Va B MAY   20. 480 KGS br  wii Las RES  
24.0,CPIU 823679 if  2761 VS& BI  Bontamners 30.  KES GR. 480 BL  Las 900 500  RE “y KGS 4%  Las 1805 kgs  78.3 260 305  62.2 LBS” vi  CAP. 93.2 1173  CUFT fi  
26.0,"623679 CPIU 2701  VS& BI  | WR EaCa GR.  30. KGS ) MAX. | ABO LBS  87.200 320  TARE. z KGS LBS  “695 260  20, NET. KGS 52.40  Las. CUM   CAP. CU. 33.9 CUFT  1.173 "
28.0,"§23679 CPIU ‘{  27G1 VS&B  | AS MAX.  GR. KGS 30. 490 LBS  wiit 6) TARE  ""22 500 KGS 4895,  LBS Kos  28. 260 NET. LBS.  62. ""305 CAP.  CU. Cow ""33. 12  CUFT "
30.0,"§23679 CPIU   2761 Sie  KES  480 GR. 30. ) MAX. | LBS  67.200 KGS  270 t TARE. “695  Las 28.  NET KGS 260 tas.  62.30: coh  cu. CAP. ""33,2 4,  CUFT  Vi "
32.0,"g 623679 CPIU   2261 VSE&  | ATR GR.  480 BMAX. Kés 30. LBS  67,200 «GS  TARE  ai  Les 695 NET.  98. KGS 260 LBS  ""305 62; “33  CUM. cu. CAP. CUFT  1172 "
